website,total_page_load_time_ms,first_paint_ms,first_contentful_paint_ms,average_resource_processing_time_ms,total_transfer_size_bytes,browser,status,measurement_date
googletagmanager.com,619,405.10000002384186,405.10000002384186,616.2000000476837,0,Chrome,SUCCESS,2024-10-13
youtube.com,2393,1725.8999999761581,1759.2999999523163,1483.145454512401,736021,Chrome,SUCCESS,2024-10-13
facebook.com,1607,1386.0,1386.0,75.0363636423241,479385,Chrome,SUCCESS,2024-10-13
ajax.googleapis.com,2648,1817.5999999046326,1817.5999999046326,216.14999998609224,4356,Chrome,SUCCESS,2024-10-13
fonts.googleapis.com,576,431.89999997615814,431.89999997615814,574.6000000238419,0,Chrome,SUCCESS,2024-10-13
twitter.com,2911,282.0,282.0,2909.0999999046326,0,Chrome,SUCCESS,2024-10-13
google.com,2040,937.1999999284744,937.1999999284744,232.19999998382158,552495,Chrome,SUCCESS,2024-10-13
linkedin.com,1354,1314.6999999284744,1314.6999999284744,6.7769230879270115,135131,Chrome,SUCCESS,2024-10-13
instagram.com,7581,684.0,684.0,328.0724137939256,1791140,Chrome,SUCCESS,2024-10-13
s.w.org,1589,992.0,992.0,189.80238094783965,1336894,Chrome,SUCCESS,2024-10-13
