website,dns_lookup_time_ms,tcp_handshake_time_ms,ssl_time_ms,ttfb_ms,content_download_time_ms,total_network_time_ms,measurement_date,adjusted_dom_parsing_time_ms,adjusted_rendering_time_ms,adjusted_browser_processing_time_ms,total_page_load_time_ms,first_paint_ms,first_contentful_paint_ms,average_resource_processing_time_ms,total_transfer_size_bytes,browser,status
googletagmanager.com,0.0,0.0,0.0,77.39999997615814,2.100000023841858,309.10000002384186,2024-10-13,46,247,310,619,405.10000002384186,405.10000002384186,616.2000000476837,0,Chrome,SUCCESS
youtube.com,0.0,0.0,0.0,99.60000002384186,63.20000004768371,984.5,2024-10-13,645,675,1409,2393,1725.899999976158,1759.2999999523165,1483.145454512401,736021,Chrome,SUCCESS
facebook.com,0.0,0.0,0.0,204.0,173.20000004768372,787.7000000476837,2024-10-13,262,548,819,1607,1386.0,1386.0,75.0363636423241,479385,Chrome,SUCCESS
ajax.googleapis.com,0.0,0.0,0.0,561.0,26.600000023841854,1303.2999999523165,2024-10-13,258,955,1345,2648,1817.5999999046328,1817.5999999046328,216.14999998609224,4356,Chrome,SUCCESS
fonts.googleapis.com,0.0,0.0,0.0,72.39999997615814,1.7000000476837158,301.60000002384186,2024-10-13,7,256,274,576,431.89999997615814,431.89999997615814,574.6000000238419,0,Chrome,SUCCESS
twitter.com,0.0,0.0,0.0,89.10000002384186,81.80000007152557,285.5,2024-10-13,880,1744,2625,2911,282.0,282.0,2909.099999904633,0,Chrome,SUCCESS
google.com,0.0,0.0,0.0,159.5,105.70000004768372,903.5,2024-10-13,76,1057,1137,2040,937.1999999284744,937.1999999284744,232.1999999838216,552495,Chrome,SUCCESS
linkedin.com,62.300000071525574,160.89999997615814,118.0,251.19999992847443,41.20000004768371,794.8999999761581,2024-10-13,31,527,559,1354,1314.6999999284744,1314.6999999284744,6.7769230879270115,135131,Chrome,SUCCESS
instagram.com,0.0,0.0,0.0,102.30000007152556,136.89999997615814,592.8999999761581,2024-10-13,931,6042,6988,7581,684.0,684.0,328.0724137939256,1791140,Chrome,SUCCESS
s.w.org,66.0,166.69999992847443,119.29999995231628,96.80000007152556,11.5,641.0,2024-10-13,492,455,948,1589,992.0,992.0,189.80238094783965,1336894,Chrome,SUCCESS
googletagmanager.com,60.0,118.0,85.0,73.0,1.0,274.0,2024-10-13,11,183,264,538,,366.0,535.0,0,Firefox,SUCCESS
youtube.com,5.0,151.0,151.0,99.0,0.0,1080.0,2024-10-13,553,636,1189,2369,,1738.0,1150.6666666666667,724429,Firefox,SUCCESS
facebook.com,37.0,0.0,0.0,222.0,0.0,686.0,2024-10-13,519,464,1000,1686,,1361.0,181.41666666666663,486547,Firefox,SUCCESS
ajax.googleapis.com,0.0,0.0,0.0,381.0,0.0,1004.0,2024-10-13,537,1648,2185,3200,,1545.0,2035.2592592592591,216833,Firefox,SUCCESS
fonts.googleapis.com,1.0,128.0,128.0,67.0,1.0,306.0,2024-10-13,14,291,310,616,,346.0,613.0,0,Firefox,SUCCESS
twitter.com,0.0,0.0,0.0,91.0,0.0,370.0,2024-10-13,870,941,1811,2252,,408.0,1555.0408163265306,3228,Firefox,SUCCESS
google.com,0.0,0.0,0.0,138.0,0.0,532.0,2024-10-13,143,1073,1231,1763,,609.0,223.3181818181818,545735,Firefox,SUCCESS
linkedin.com,50.0,0.0,0.0,228.0,4.0,711.0,2024-10-13,25,787,819,1531,,1340.0,1.8333333333333333,6579,Firefox,SUCCESS
instagram.com,54.0,0.0,0.0,108.0,0.0,473.0,2024-10-13,3,6894,6899,7481,,558.0,245.31034482758625,1762218,Firefox,SUCCESS
s.w.org,1.0,151.0,112.0,65.0,31.0,591.0,2024-10-13,256,812,1077,1668,,791.0,203.390243902439,329436,Firefox,SUCCESS
